,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0,-0.331,1,0.00007,0.00006,-0.00001,1,0.00007,0.00006,-0.00001
1,-0.321,1,0.00016,0.00013,-0.00002,1,0.00016,0.00013,-0.00002
2,-0.311,1,0.00024,0.0002,-0.00002,1,0.00024,0.0002,-0.00002
3,-0.301,1,0.00031,0.00026,-0.00003,1,0.00031,0.00026,-0.00003
4,-0.291,1,0.00039,0.00032,-0.00003,1,0.00039,0.00032,-0.00003
5,-0.281,1,0.00047,0.00038,-0.00004,1,0.00047,0.00038,-0.00004
6,-0.271,1,0.00056,0.00045,-0.00005,1,0.00056,0.00045,-0.00005
7,-0.261,1,0.00064,0.00052,-0.00006,1,0.00064,0.00052,-0.00006
8,-0.251,1,0.00073,0.00058,-0.00007,1,0.00073,0.00058,-0.00007
9,-0.241,1,0.00081,0.00064,-0.00009,1,0.00081,0.00064,-0.00009
10,-0.231,1,0.0009,0.00071,-0.0001,1,0.0009,0.00071,-0.0001
11,-0.221,1,0.00098,0.00078,-0.00011,1,0.00098,0.00078,-0.00011
12,-0.211,1,0.00106,0.00084,-0.00012,1,0.00106,0.00084,-0.00012
13,-0.201,1,0.00114,0.0009,-0.00013,1,0.00114,0.0009,-0.00013
14,-0.191,1,0.00122,0.00097,-0.00014,1,0.00122,0.00097,-0.00014
15,-0.181,1,0.00131,0.00103,-0.00014,1,0.00131,0.00103,-0.00014
16,-0.171,1,0.00139,0.0011,-0.00015,1,0.00139,0.0011,-0.00015
17,-0.161,1,0.00147,0.00117,-0.00015,1,0.00147,0.00117,-0.00015
18,-0.151,1,0.00155,0.00123,-0.00015,1,0.00155,0.00123,-0.00015
19,-0.141,1,0.00163,0.00129,-0.00016,1,0.00163,0.00129,-0.00016
20,-0.131,1,0.0017,0.00136,-0.00016,1,0.0017,0.00136,-0.00016
21,-0.121,1,0.00178,0.00142,-0.00017,1,0.00178,0.00142,-0.00017
22,-0.111,1,0.00186,0.00148,-0.00018,1,0.00186,0.00148,-0.00018
23,-0.101,1,0.00193,0.00154,-0.00018,1,0.00193,0.00154,-0.00018
24,-0.091,1,0.002,0.00155,-0.0002,1,0.002,0.00155,-0.0002
25,-0.081,1,0.00208,0.00168,-0.00022,1,0.00208,0.00168,-0.00022
26,-0.071,1,0.00211,0.00192,-0.00015,1,0.00211,0.00192,-0.00015
27,-0.061,1,0.00211,0.00235,-0.00004,1,0.00211,0.00235,-0.00004
28,-0.051,0.99999,0.00205,0.00316,-0.00008,0.99999,0.00205,0.00316,-0.00008
29,-0.041,0.99999,0.00213,0.0043,-0.00002,0.99999,0.00213,0.0043,-0.00002
30,-0.031,0.99998,0.00213,0.00542,-0.00002,0.99998,0.00213,0.00542,-0.00002
31,-0.021,0.99998,0.00213,0.00642,-0.00008,0.99998,0.00213,0.00642,-0.00008
32,-0.011,0.99997,0.00215,0.00738,-0.00015,0.99997,0.00215,0.00738,-0.00015
33,-0.001,0.99996,0.00216,0.0084,-0.00025,0.99996,0.00216,0.0084,-0.00025
34,0.009,0.99995,0.00218,0.00948,-0.00034,0.99995,0.00218,0.00948,-0.00034
35,0.019,0.99994,0.00223,0.01066,-0.00039,0.99994,0.00223,0.01066,-0.00039
36,0.029,0.99993,0.0023,0.01192,-0.00036,0.99993,0.0023,0.01192,-0.00036
37,0.039,0.99991,0.00244,0.01339,-0.00029,0.99991,0.00244,0.01339,-0.00029
38,0.049,0.99989,0.0026,0.01482,-0.00018,0.99989,0.0026,0.01482,-0.00018
39,0.059,0.99987,0.00281,0.01614,-0.00005,0.99987,0.00281,0.01614,-0.00005
40,0.069,0.99984,0.00302,0.01744,0.00007,0.99984,0.00302,0.01744,0.00007
41,0.079,0.99982,0.00329,0.01884,0.00016,0.99982,0.00329,0.01884,0.00016
42,0.089,0.99979,0.00354,0.02041,0.00028,0.99979,0.00354,0.02041,0.00028
43,0.099,0.99975,0.00378,0.02199,0.00047,0.99975,0.00378,0.02199,0.00047
44,0.109,0.99971,0.00404,0.02364,0.00072,0.99971,0.00404,0.02364,0.00072
45,0.119,0.99967,0.0043,0.02535,0.00102,0.99967,0.0043,0.02535,0.00102
46,0.129,0.99962,0.00458,0.02712,0.00138,0.99962,0.00458,0.02712,0.00138
47,0.139,0.99957,0.00483,0.02891,0.00178,0.99957,0.00483,0.02891,0.00178
48,0.149,0.99951,0.00509,0.03076,0.00223,0.99951,0.00509,0.03076,0.00223
49,0.159,0.99945,0.00532,0.03269,0.00271,0.99945,0.00532,0.03269,0.00271
50,0.169,0.99938,0.00549,0.03472,0.00321,0.99938,0.00549,0.03472,0.00321
51,0.179,0.9993,0.00558,0.03682,0.00371,0.9993,0.00558,0.03682,0.00371
52,0.189,0.99921,0.00559,0.039,0.00422,0.99921,0.00559,0.039,0.00422
53,0.199,0.99912,0.0055,0.04125,0.00474,0.99912,0.0055,0.04125,0.00474
54,0.209,0.99902,0.0053,0.04354,0.00526,0.99902,0.0053,0.04354,0.00526
55,0.219,0.99892,0.00498,0.04587,0.00576,0.99892,0.00498,0.04587,0.00576
56,0.229,0.9988,0.00456,0.04827,0.00625,0.9988,0.00456,0.04827,0.00625
57,0.239,0.99868,0.00406,0.05073,0.00672,0.99868,0.00406,0.05073,0.00672
58,0.249,0.99855,0.00349,0.05322,0.00718,0.99855,0.00349,0.05322,0.00718
59,0.259,0.9984,0.00295,0.05589,0.00765,0.9984,0.00295,0.05589,0.00765
60,0.269,0.99824,0.00244,0.05873,0.0082,0.99824,0.00244,0.05873,0.0082
61,0.279,0.99805,0.00196,0.0618,0.00881,0.99805,0.00196,0.0618,0.00881
62,0.289,0.99783,0.00149,0.06508,0.00945,0.99783,0.00149,0.06508,0.00945
63,0.299,0.99759,0.00102,0.06858,0.01011,0.99759,0.00102,0.06858,0.01011
64,0.309,0.99733,0.00054,0.07224,0.01076,0.99733,0.00054,0.07224,0.01076
65,0.319,0.99704,0.00005,0.07603,0.01139,0.99704,0.00005,0.07603,0.01139
66,0.329,0.99672,-0.00048,0.07999,0.01199,0.99672,-0.00048,0.07999,0.01199
67,0.339,0.99638,-0.00108,0.08412,0.01257,0.99638,-0.00108,0.08412,0.01257
68,0.349,0.99599,-0.00174,0.08844,0.01311,0.99599,-0.00174,0.08844,0.01311
69,0.359,0.99558,-0.00247,0.09291,0.01363,0.99558,-0.00247,0.09291,0.01363
70,0.369,0.99513,-0.00329,0.09755,0.01412,0.99513,-0.00329,0.09755,0.01412
71,0.379,0.99463,-0.0042,0.1024,0.01458,0.99463,-0.0042,0.1024,0.01458
72,0.389,0.99408,-0.00519,0.10748,0.01497,0.99408,-0.00519,0.10748,0.01497
73,0.399,0.9935,-0.00625,0.11264,0.0153,0.9935,-0.00625,0.11264,0.0153
74,0.409,0.99288,-0.00736,0.11783,0.01558,0.99288,-0.00736,0.11783,0.01558
75,0.419,0.99224,-0.0085,0.12305,0.01584,0.99224,-0.0085,0.12305,0.01584
76,0.429,0.99156,-0.00964,0.1283,0.01608,0.99156,-0.00964,0.1283,0.01608
77,0.439,0.99084,-0.01077,0.13363,0.0163,0.99084,-0.01077,0.13363,0.0163
78,0.449,0.99008,-0.01187,0.13903,0.01649,0.99008,-0.01187,0.13903,0.01649
79,0.459,0.98928,-0.01294,0.14454,0.01662,0.98928,-0.01294,0.14454,0.01662
80,0.469,0.98841,-0.01397,0.15026,0.01666,0.98841,-0.01397,0.15026,0.01666
81,0.479,0.98746,-0.01493,0.15629,0.01663,0.98746,-0.01493,0.15629,0.01663
82,0.489,0.98643,-0.0158,0.1626,0.01653,0.98643,-0.0158,0.1626,0.01653
83,0.499,0.98532,-0.01656,0.1691,0.01634,0.98532,-0.01656,0.1691,0.01634
84,0.509,0.98415,-0.01719,0.17578,0.01604,0.98415,-0.01719,0.17578,0.01604
85,0.519,0.9829,-0.0177,0.18263,0.01564,0.9829,-0.0177,0.18263,0.01564
86,0.529,0.98158,-0.01813,0.18958,0.01515,0.98158,-0.01813,0.18958,0.01515
87,0.539,0.9802,-0.01847,0.19658,0.01459,0.9802,-0.01847,0.19658,0.01459
88,0.549,0.97877,-0.0187,0.20363,0.01395,0.97877,-0.0187,0.20363,0.01395
89,0.559,0.97727,-0.01883,0.21073,0.01324,0.97727,-0.01883,0.21073,0.01324
90,0.569,0.97571,-0.01883,0.21789,0.01247,0.97571,-0.01883,0.21789,0.01247
91,0.579,0.97408,-0.01868,0.22512,0.01163,0.97408,-0.01868,0.22512,0.01163
92,0.589,0.97238,-0.01838,0.23245,0.01071,0.97238,-0.01838,0.23245,0.01071
93,0.599,0.97058,-0.01797,0.2399,0.0097,0.97058,-0.01797,0.2399,0.0097
94,0.609,0.9687,-0.01747,0.24749,0.00865,0.9687,-0.01747,0.24749,0.00865
95,0.619,0.96669,-0.01687,0.25527,0.0076,0.96669,-0.01687,0.25527,0.0076
96,0.629,0.96456,-0.01623,0.26328,0.0066,0.96456,-0.01623,0.26328,0.0066
97,0.639,0.96231,-0.01561,0.27143,0.00566,0.96231,-0.01561,0.27143,0.00566
98,0.649,0.95997,-0.01499,0.27966,0.0048,0.95997,-0.01499,0.27966,0.0048
99,0.659,0.95751,-0.01433,0.28801,0.00398,0.95751,-0.01433,0.28801,0.00398
100,0.669,0.95494,-0.01369,0.29646,0.00322,0.95494,-0.01369,0.29646,0.00322
101,0.679,0.95225,-0.01305,0.30503,0.00252,0.95225,-0.01305,0.30503,0.00252
102,0.689,0.94942,-0.01243,0.31375,0.00189,0.94942,-0.01243,0.31375,0.00189
103,0.699,0.94644,-0.01185,0.32265,0.00132,0.94644,-0.01185,0.32265,0.00132
104,0.709,0.94333,-0.01132,0.33167,0.00084,0.94333,-0.01132,0.33167,0.00084
105,0.719,0.9401,-0.0109,0.34072,0.00047,0.9401,-0.0109,0.34072,0.00047
106,0.729,0.93677,-0.01056,0.34978,0.00021,0.93677,-0.01056,0.34978,0.00021
107,0.739,0.93333,-0.01032,0.35888,0.00009,0.93333,-0.01032,0.35888,0.00009
