,ts,q0_estimated,q1_estimated,q2_estimated,q3_estimated,q0_raw,q1_raw,q2_raw,q3_raw
0.00000,-0.33100,1.00000,0.00007,0.00001,0.00006,1.00000,0.00007,0.00001,0.00006
1.00000,-0.32100,1.00000,0.00016,0.00002,0.00013,1.00000,0.00016,0.00002,0.00013
2.00000,-0.31100,1.00000,0.00024,0.00002,0.00020,1.00000,0.00024,0.00002,0.00020
3.00000,-0.30100,1.00000,0.00031,0.00003,0.00026,1.00000,0.00031,0.00003,0.00026
4.00000,-0.29100,1.00000,0.00039,0.00003,0.00032,1.00000,0.00039,0.00003,0.00032
5.00000,-0.28100,1.00000,0.00047,0.00004,0.00038,1.00000,0.00047,0.00004,0.00038
6.00000,-0.27100,1.00000,0.00056,0.00005,0.00045,1.00000,0.00056,0.00005,0.00045
7.00000,-0.26100,1.00000,0.00064,0.00006,0.00052,1.00000,0.00064,0.00006,0.00052
8.00000,-0.25100,1.00000,0.00073,0.00007,0.00058,1.00000,0.00073,0.00007,0.00058
9.00000,-0.24100,1.00000,0.00081,0.00009,0.00064,1.00000,0.00081,0.00009,0.00064
10.00000,-0.23100,1.00000,0.00090,0.00010,0.00071,1.00000,0.00090,0.00010,0.00071
11.00000,-0.22100,1.00000,0.00098,0.00011,0.00078,1.00000,0.00098,0.00011,0.00078
12.00000,-0.21100,1.00000,0.00106,0.00012,0.00084,1.00000,0.00106,0.00012,0.00084
13.00000,-0.20100,1.00000,0.00114,0.00013,0.00090,1.00000,0.00114,0.00013,0.00090
14.00000,-0.19100,1.00000,0.00122,0.00014,0.00097,1.00000,0.00122,0.00014,0.00097
15.00000,-0.18100,1.00000,0.00131,0.00014,0.00103,1.00000,0.00131,0.00014,0.00103
16.00000,-0.17100,1.00000,0.00139,0.00015,0.00110,1.00000,0.00139,0.00015,0.00110
17.00000,-0.16100,1.00000,0.00147,0.00015,0.00117,1.00000,0.00147,0.00015,0.00117
18.00000,-0.15100,1.00000,0.00155,0.00015,0.00123,1.00000,0.00155,0.00015,0.00123
19.00000,-0.14100,1.00000,0.00163,0.00016,0.00129,1.00000,0.00163,0.00016,0.00129
20.00000,-0.13100,1.00000,0.00170,0.00016,0.00136,1.00000,0.00170,0.00016,0.00136
21.00000,-0.12100,1.00000,0.00178,0.00017,0.00142,1.00000,0.00178,0.00017,0.00142
22.00000,-0.11100,1.00000,0.00186,0.00018,0.00148,1.00000,0.00186,0.00018,0.00148
23.00000,-0.10100,1.00000,0.00193,0.00018,0.00154,1.00000,0.00193,0.00018,0.00154
